Time,angle,PWM Volt
1.225,-37.6,0.012
1.227,-37.598,0
1.23,-37.597,0
1.232,-37.598,0.012
1.234,-37.596,0
1.237,-37.594,0
1.239,-37.593,0
1.241,-37.59,0.012
1.244,-37.588,0
1.246,-37.588,0
1.249,-37.585,0
1.251,-37.585,0
1.253,-37.582,0
1.256,-37.581,0
1.258,-37.581,0.012
1.261,-37.581,0.023
1.263,-37.581,0.035
1.265,-37.579,0.047
1.268,-37.579,0.07
1.27,-37.576,0.094
1.273,-37.576,0.106
1.275,-37.574,0.117
1.277,-37.573,0.141
1.28,-37.569,0.152
1.282,-37.566,0.164
1.285,-37.565,0.176
1.287,-37.563,0.188
1.289,-37.561,0.199
1.292,-37.557,0.211
1.294,-37.554,0.211
1.296,-37.55,0.223
1.299,-37.547,0.235
1.301,-37.543,0.246
1.311,-37.606,0.293
1.313,-37.601,0.317
1.315,-37.598,0.328
1.318,-37.592,0.352
1.32,-37.586,0.364
1.323,-37.58,0.387
1.325,-37.575,0.411
1.327,-37.57,0.434
1.33,-37.565,0.446
1.332,-37.563,0.469
1.335,-37.559,0.469
1.337,-37.553,0.516
1.339,-37.548,0.551
1.342,-37.546,0.551
1.344,-37.541,0.575
1.347,-37.543,0.598
1.349,-37.538,0.587
1.351,-37.536,0.61
1.354,-37.536,0.645
1.356,-37.534,0.645
1.359,-37.535,0.669
1.361,-37.538,0.645
1.363,-37.538,0.657
1.366,-37.539,0.692
1.368,-37.532,0.692
1.371,-37.527,0.692
1.373,-37.523,0.692
1.375,-37.521,0.68
1.378,-37.512,0.68
1.38,-37.503,0.704
1.383,-37.496,0.716
1.385,-37.492,0.716
1.387,-37.488,0.751
1.39,-37.481,0.739
1.392,-37.48,0.739
1.394,-37.477,0.727
1.397,-37.47,0.739
1.399,-37.466,0.739
1.402,-37.463,0.774
1.411,-37.513,0.774
1.413,-37.512,0.774
1.416,-37.507,0.809
1.418,-37.491,0.786
1.421,-37.49,0.786
1.423,-37.478,0.798
1.426,-37.475,0.798
1.428,-37.464,0.833
1.43,-37.461,0.821
1.433,-37.451,0.798
1.435,-37.446,0.798
1.437,-37.437,0.798
1.44,-37.428,0.798
1.442,-37.415,0.798
1.445,-37.4,0.833
1.447,-37.394,0.821
1.449,-37.375,0.833
1.452,-37.365,0.821
1.454,-37.36,0.845
1.457,-37.349,0.868
1.459,-37.34,0.88
1.461,-37.338,0.856
1.464,-37.344,0.845
1.466,-37.346,0.856
1.468,-37.346,0.868
1.471,-37.353,0.868
1.473,-37.347,0.903
1.476,-37.329,0.88
1.478,-37.32,0.891
1.48,-37.311,0.903
1.483,-37.303,0.903
1.485,-37.3,0.903
1.488,-37.297,0.927
1.49,-37.291,0.927
1.492,-37.288,0.927
1.495,-37.285,0.903
1.497,-37.272,0.927
1.5,-37.261,0.903
1.502,-37.249,0.903
1.511,-37.281,0.927
1.514,-37.278,0.962
1.516,-37.269,0.962
1.519,-37.259,0.95
1.521,-37.248,0.938
1.523,-37.239,0.974
1.526,-37.234,0.974
1.528,-37.217,0.974
1.531,-37.223,0.974
1.533,-37.22,0.962
1.535,-37.22,0.997
1.538,-37.21,0.985
1.54,-37.214,0.997
1.542,-37.217,0.997
1.545,-37.214,1.009
1.547,-37.197,1.044
1.55,-37.192,1.021
1.552,-37.191,1.044
1.554,-37.178,1.044
1.557,-37.153,1.032
1.559,-37.144,1.044
1.562,-37.138,1.044
1.564,-37.123,1.056
1.566,-37.103,1.056
1.569,-37.109,1.079
1.571,-37.113,1.056
1.574,-37.125,1.091
1.576,-37.107,1.067
1.578,-37.086,1.091
1.581,-37.074,1.079
1.583,-37.074,1.079
1.586,-37.057,1.126
1.588,-37.037,1.126
1.59,-37.034,1.126
1.593,-37.025,1.103
1.595,-37.033,1.103
1.598,-37.011,1.126
1.6,-36.992,1.138
1.609,-36.995,1.138
1.612,-36.952,1.15
1.614,-36.903,1.15
1.617,-36.88,1.15
1.619,-36.875,1.173
1.621,-36.9,1.161
1.624,-36.887,1.161
1.626,-36.871,1.15
1.628,-36.832,1.138
1.631,-36.816,1.185
1.633,-36.834,1.185
1.636,-36.884,1.161
1.638,-36.893,1.185
1.64,-36.886,1.173
1.643,-36.872,1.15
1.645,-36.868,1.161
1.648,-36.878,1.185
1.65,-36.899,1.173
1.652,-36.938,1.173
1.655,-36.932,1.173
1.657,-36.909,1.173
1.66,-36.868,1.185
1.662,-36.85,1.208
1.664,-36.856,1.208
1.667,-36.869,1.173
1.669,-36.9,1.208
1.672,-36.887,1.185
1.674,-36.846,1.185
